review_id,user_uid,nickname,goods_cd,order_ref,rating,title,content,review_date,verified_purchase,photo_count,video_yn,helpful_count,report_count,reviewer_skin_type,reviewer_age_group,sentiment_score,admin_reply,is_best,review_nlp_01,review_nlp_02,review_nlp_03,review_nlp_04,review_nlp_05,review_nlp_06,review_nlp_07,review_nlp_08,review_nlp_09,review_nlp_10,review_nlp_11,review_nlp_12,review_nlp_13,review_nlp_14,review_nlp_15,review_flag_01,review_flag_02,review_flag_03,review_flag_04,review_flag_05,review_flag_06,review_flag_07,review_flag_08,review_flag_09,review_flag_10
RV-0000001,uid_3c35929c1145,뷰티바사554,PRD-00688,ORD00000372,4,재구매의사있음,리뷰내용_7mdem71l_자극없어요,2023.10.13,Y,2,N,1,0,민감성,20대,71.3,,N,18.58,11.0,18.12,45.190000000000005,12.32,7.61,34.92,32.06,38.65,28.27,18.0,40.050000000000004,38.269999999999996,25.41,39.86,False,True,O,0,True,no,no,N,1,1
RV-0000002,uid_01ccde8ac4f3,뷰티사다549,PRD-01656,,3,별로에요,리뷰내용_cyuxllfd_가성비좋아요,20241204,False,1,N,2,0,지성,10대,47.7,,N,37.980000000000004,42.449999999999996,68.62,30.159999999999997,22.08,37.78,2.8000000000000003,38.519999999999996,14.38,28.249999999999996,16.93,55.04,11.540000000000001,14.799999999999999,42.46,False,False,O,1,True,no,no,N,1,0
RV-0000003,uid_6244fb2e9f18,뷰티다차212,PRD-01224,ORD00000269,5,최고,리뷰내용_ka84vgfo_트러블났어요,2023-08-11,1,1,N,4,0,트러블성,40대,61.2,,N,11.68,54.71,86.72999999999999,49.7,14.42,4.5,69.48,39.17,49.24,16.74,10.14,27.250000000000004,22.41,26.029999999999998,11.43,False,False,O,0,False,no,no,Y,0,1
RV-0000004,uid_37d495c84a85,뷰티가나203,PRD-00944,ORD00002693,4,재구매의사있음,리뷰내용_ijsty7yc_보습력최고,2024.08.14,N,0,N,2,0,트러블성,,89.8,,N,63.160000000000004,21.89,26.900000000000002,17.04,35.97,17.01,69.84,34.63,6.950000000000001,35.410000000000004,49.13,31.91,17.59,15.17,26.179999999999996,True,False,X,1,False,yes,yes,Y,0,0
RV-0000005,uid_feaf1041ccdc,뷰티아마923,PRD-00834,ORD00001574,3,별로에요,리뷰내용_rp27jsc4_보습력최고,05/02/2023,Y,0,N,2,0,건성,20대,88.5,답변_qtirqtsh,N,50.18,58.620000000000005,25.91,44.4,3.7800000000000002,9.42,43.919999999999995,31.3,10.59,11.81,6.84,5.17,18.35,4.21,60.29,False,True,O,0,False,no,yes,N,1,0
RV-0000006,uid_42802d81c552,뷰티나사990,PRD-00149,ORD00011445,5,최고,리뷰내용_xbjz2ix9_재구매예정,20240323,False,2,N,3,0,민감성,10대,62.7,,N,23.94,40.61,26.590000000000003,29.68,38.42,29.95,43.95,12.43,35.14,31.319999999999997,16.48,58.84,27.12,48.86,9.39,False,False,O,1,True,yes,yes,N,0,0
RV-0000007,uid_14b37ffff51e,뷰티마나801,PRD-00014,ORD00014255,5,최고,리뷰내용_nla6378l_재구매예정,01-17-2025,True,5,N,2,0,지성,10대,84.9,,N,26.35,14.85,45.22,24.82,34.89,27.650000000000002,14.87,57.97,28.15,15.950000000000001,25.69,26.44,24.69,42.51,34.36,True,True,X,0,True,yes,yes,Y,1,0
RV-0000008,uid_b4f63b36179a,뷰티아차489,PRD-00022,ORD00007969,4,실망,리뷰내용_6654ujgq_가성비좋아요,2023-12-03,True,0,N,4,0,중성,50대이상,60.3,,N,17.51,27.500000000000004,34.589999999999996,6.83,9.89,56.730000000000004,47.38,58.220000000000006,34.71,19.68,31.430000000000003,43.75,14.510000000000002,29.73,25.069999999999997,True,False,X,0,False,yes,yes,Y,0,1
RV-0000009,uid_710f074866fe,뷰티바자945,PRD-01794,ORD00000573,1,별로에요,리뷰내용_qf5fo7do_보습력최고,02-08-2024,0,0,N,3,2,민감성,,92.7,,N,22.470000000000002,20.810000000000002,33.08,1.44,16.259999999999998,16.36,6.710000000000001,32.54,57.9,46.910000000000004,4.79,17.29,75.2,2.59,15.55,True,True,X,1,False,yes,no,N,0,1
RV-0000010,uid_73c2871d0664,뷰티사차95,PRD-01164,,3,최고,리뷰내용_zfdba1g9_향이좋아요,2024-06-16,N,0,N,5,0,복합성,50대이상,71.9,,N,37.08,8.74,27.77,9.120000000000001,40.38,13.19,35.56,38.47,5.12,21.05,10.209999999999999,14.219999999999999,28.32,8.43,26.31,False,False,X,1,False,yes,yes,Y,0,0
